               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1201,             0.02748,            0.047368,                   0,                   0,                   0,                   0,              0.1137,            0.022896,            0.045508,              0.0973,              0.0003,              0.0003
                   1,             0.11052,            0.030176,             0.04494,          7.8321e-05,               0.125,           0.0002612,           2.612e-05,             0.10463,            0.022528,            0.042542,            0.093698,          0.00069769,          0.00069769
                   2,            0.099199,            0.029308,            0.041752,          0.00018828,             0.13333,          0.00038511,          7.1421e-05,            0.090977,            0.022511,             0.03988,            0.090093,           0.0010927,           0.0010927
                   3,             0.09437,            0.030946,             0.04007,           0.0026021,              0.3625,           0.0045588,           0.0011292,            0.079468,            0.022713,            0.037537,            0.086485,           0.0014851,           0.0014851
                   4,            0.090244,            0.030172,            0.038332,           0.0031582,             0.50417,             0.03168,           0.0095141,            0.073625,            0.021863,            0.034848,            0.082875,           0.0018749,           0.0018749
                   5,            0.081776,            0.030129,            0.031476,           0.0024211,             0.35833,           0.0093532,           0.0027635,             0.07406,            0.020376,            0.031619,            0.079262,           0.0022621,           0.0022621
                   6,            0.076945,            0.026549,            0.033711,           0.0025878,             0.55417,            0.087099,            0.020939,            0.066915,            0.020092,            0.029077,            0.075647,           0.0026465,           0.0026465
                   7,             0.07608,            0.031617,            0.029483,           0.0020829,               0.475,            0.015496,           0.0033803,            0.067842,            0.019397,            0.028552,            0.072028,           0.0030284,           0.0030284
                   8,            0.077546,            0.024931,            0.030831,            0.014922,             0.18333,            0.028541,           0.0046548,            0.067261,             0.01852,            0.027832,            0.068408,           0.0034076,           0.0034076
                   9,            0.066806,            0.029025,            0.023047,             0.77582,            0.066667,            0.017704,           0.0046529,            0.080158,            0.015121,            0.027438,            0.064784,           0.0037842,           0.0037842
                  10,            0.078628,            0.028226,            0.021964,             0.82195,             0.15493,            0.075391,            0.021753,            0.073056,             0.01509,            0.027191,            0.061158,           0.0041581,           0.0041581
                  11,            0.075115,            0.027253,            0.025163,             0.80312,            0.083333,             0.03731,           0.0092257,            0.064366,            0.016016,            0.026892,            0.057529,           0.0045294,           0.0045294
                  12,            0.073899,            0.026319,            0.024384,           0.0018526,              0.4375,           0.0031825,          0.00094907,            0.075049,             0.01398,            0.026614,            0.053898,            0.004898,            0.004898
                  13,            0.076412,             0.02292,            0.028712,             0.80642,                0.25,             0.15524,            0.032355,             0.06624,            0.013999,            0.026166,            0.050264,            0.005264,            0.005264
                  14,             0.07046,            0.025233,            0.023221,             0.76922,             0.15833,            0.091714,            0.016243,            0.067535,            0.013448,            0.026062,            0.046627,           0.0056274,           0.0056274
                  15,            0.072836,            0.023309,            0.021228,           0.0038882,               0.375,           0.0084011,           0.0028661,             0.07466,            0.012005,            0.025577,            0.042988,           0.0059881,           0.0059881
                  16,            0.078557,            0.020621,            0.020546,             0.50834,             0.20833,            0.032803,            0.006783,              0.0738,            0.012096,            0.025281,            0.039346,           0.0063462,           0.0063462
                  17,            0.076414,            0.021882,            0.019769,             0.79685,             0.21667,             0.16102,            0.037963,            0.064108,            0.013084,            0.025876,            0.035702,           0.0067017,           0.0067017
                  18,            0.068288,             0.02403,            0.028544,             0.79685,             0.21667,             0.16102,            0.037963,            0.064108,            0.013084,            0.025876,            0.032054,           0.0070545,           0.0070545
                  19,            0.065889,            0.023591,            0.024191,              0.7632,             0.23333,            0.076082,            0.018197,            0.061948,            0.012946,            0.025543,            0.028405,           0.0074047,           0.0074047
                  20,            0.065115,            0.021577,             0.02712,             0.75792,                0.25,             0.07343,            0.020897,            0.060099,            0.012418,            0.025165,            0.024752,           0.0077522,           0.0077522
                  21,            0.066297,            0.027341,            0.024995,             0.76196,             0.24167,             0.16139,            0.071645,            0.074519,            0.009521,            0.024432,            0.021097,           0.0080971,           0.0080971
                  22,            0.077799,            0.016034,            0.020607,             0.76196,             0.24167,             0.16139,            0.071645,            0.074519,            0.009521,            0.024432,            0.017439,           0.0084393,           0.0084393
                  23,            0.071179,            0.016407,            0.023739,             0.51724,                0.25,             0.23478,            0.092896,            0.055975,            0.011014,            0.024985,            0.013779,            0.008779,            0.008779
                  24,            0.056634,            0.017778,             0.02314,             0.97891,             0.18098,             0.27217,             0.13002,            0.071809,           0.0085669,            0.024429,            0.010116,           0.0091159,           0.0091159
                  25,            0.069432,            0.018454,            0.020684,             0.97891,             0.18098,             0.27217,             0.13002,            0.071809,           0.0085669,            0.024429,            0.009175,            0.009175,            0.009175
                  26,            0.070603,            0.019346,            0.021556,             0.92961,              0.1914,             0.23487,              0.1176,            0.073215,           0.0081887,            0.024538,            0.009175,            0.009175,            0.009175
                  27,            0.070461,            0.020526,            0.021364,             0.94676,             0.15409,             0.22663,             0.09066,            0.075693,           0.0082526,            0.023685,            0.009142,            0.009142,            0.009142
                  28,            0.076495,            0.016529,            0.025116,             0.94676,             0.15409,             0.22663,             0.09066,            0.075693,           0.0082526,            0.023685,            0.009109,            0.009109,            0.009109
